variant,component_change,status,best_epoch,logged_epochs,best_miou_binary,best_iou_damage,best_iou_background,best_pixel_acc,params_million,latency_ms_per_image,delta_miou_vs_full,delta_damage_iou_vs_full,delta_params_million_vs_full,delta_latency_ms_vs_full,interpretation
v13_full_reference,Full model: detail branch + boundary gate + boundary-logit fusion + LiteASPP + aux loss,ok,2,14,0.8072165849511359,0.7112691400321568,0.9031640298701151,0.9218149820963542,0.124509,3.097,0.000000,0.000000,0.000000,0.000000,reference for same-protocol comparison
v13_no_detail_branch,Detail branch OFF,ok,2,14,0.7981966262164919,0.698415589822897,0.8979776626100867,0.9174753824869791,0.124509,2.6676,-0.009020,-0.012854,0.000000,-0.429400,removal reduced mIoU; faster inference
v13_no_boundary_gate,Boundary gate OFF,ok,2,14,0.800952794427751,0.7022640072854306,0.8996415815700715,0.9188507080078125,0.124509,3.0544,-0.006264,-0.009005,0.000000,-0.042600,removal reduced mIoU
v13_no_boundary_logit_fusion,Boundary-logit fusion OFF,ok,2,14,0.8046026398508912,0.7077500840775756,0.901455195624207,0.9204416910807292,0.124509,3.1127,-0.002614,-0.003519,0.000000,0.015700,mIoU change small
v13_no_liteaspp_context,LiteASPP replaced by DSConv context,ok,2,14,0.7850106417538016,0.6784074642695562,0.8916138192380472,0.9117838541666666,0.123477,2.7642,-0.022206,-0.032862,-0.001032,-0.332800,removal reduced mIoU; smaller model; faster inference
v13_no_aux_loss,Auxiliary head/loss OFF,ok,11,23,0.791883293786984,0.6865786194109244,0.8971879681630435,0.9160868326822916,0.124411,3.0289,-0.015333,-0.024691,-0.000098,-0.068100,removal reduced mIoU
v13_slim_backbone_capacity,Reduced backbone/context capacity,ok,20,32,0.8064117884725099,0.7094504680246185,0.9033731089204015,0.9218190511067709,0.059397,3.1216,-0.000805,-0.001819,-0.065112,0.024600,mIoU change small; smaller model
