threshold,min_area_pixels,val_images,miou_binary,iou_damage,iou_background,dice_damage,precision,recall,pixel_acc,pred_positive_ratio_percent,gt_positive_ratio_percent,false_positive_ratio_percent,avg_components_per_image,tp,fp,fn,tn
0.60,240,10,0.807282,0.711291,0.903272,0.831292,0.918315,0.759334,0.921887,20.956421,25.344035,1.711833,1.100000,189182,16828,59960,717070
0.65,0,10,0.806493,0.709196,0.903791,0.829859,0.928994,0.749841,0.922074,20.456543,25.344035,1.452535,4.400000,186817,14279,62325,719619
0.65,30,10,0.806360,0.708983,0.903737,0.829713,0.929066,0.749556,0.922024,20.447184,25.344035,1.450399,1.600000,186746,14258,62396,719640
0.65,60,10,0.806388,0.708993,0.903783,0.829720,0.929491,0.749292,0.922055,20.430603,25.344035,1.440531,1.200000,186680,14161,62462,719737
0.65,120,10,0.806260,0.708788,0.903732,0.829579,0.929564,0.749015,0.922006,20.421448,25.344035,1.438395,1.100000,186611,14140,62531,719758
0.65,180,10,0.806260,0.708788,0.903732,0.829579,0.929564,0.749015,0.922006,20.421448,25.344035,1.438395,1.100000,186611,14140,62531,719758
0.65,240,10,0.806260,0.708788,0.903732,0.829579,0.929564,0.749015,0.922006,20.421448,25.344035,1.438395,1.100000,186611,14140,62531,719758
0.70,0,10,0.804473,0.705188,0.903759,0.827109,0.940110,0.738358,0.921768,19.905090,25.344035,1.192118,3.000000,183956,11719,65186,722179
0.70,30,10,0.804467,0.705159,0.903775,0.827089,0.940365,0.738169,0.921777,19.894613,25.344035,1.186422,1.200000,183909,11663,65233,722235
0.70,60,10,0.804391,0.705037,0.903745,0.827005,0.940415,0.738005,0.921749,19.889119,25.344035,1.185099,1.100000,183868,11650,65274,722248
0.70,120,10,0.804391,0.705037,0.903745,0.827005,0.940415,0.738005,0.921749,19.889119,25.344035,1.185099,1.100000,183868,11650,65274,722248
0.70,180,10,0.804391,0.705037,0.903745,0.827005,0.940415,0.738005,0.921749,19.889119,25.344035,1.185099,1.100000,183868,11650,65274,722248
0.70,240,10,0.804391,0.705037,0.903745,0.827005,0.940415,0.738005,0.921749,19.889119,25.344035,1.185099,1.100000,183868,11650,65274,722248
0.75,0,10,0.800790,0.698631,0.902950,0.822581,0.951088,0.724667,0.920774,19.310506,25.344035,0.944519,2.500000,180545,9285,68597,724613
0.75,30,10,0.800625,0.698373,0.902878,0.822403,0.951095,0.724386,0.920708,19.302877,25.344035,0.944010,1.200000,180475,9280,68667,724618
0.75,60,10,0.800516,0.698203,0.902828,0.822284,0.951083,0.724209,0.920663,19.298401,25.344035,0.944010,1.100000,180431,9280,68711,724618
0.75,120,10,0.800516,0.698203,0.902828,0.822284,0.951083,0.724209,0.920663,19.298401,25.344035,0.944010,1.100000,180431,9280,68711,724618
0.75,180,10,0.800516,0.698203,0.902828,0.822284,0.951083,0.724209,0.920663,19.298401,25.344035,0.944010,1.100000,180431,9280,68711,724618
0.75,240,10,0.800516,0.698203,0.902828,0.822284,0.951083,0.724209,0.920663,19.298401,25.344035,0.944010,1.100000,180431,9280,68711,724618
