model,device,device_name,input_h,input_w,batch_size,amp,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,throughput_fps,cuda_peak_memory_mb,cuda_allocated_memory_mb,params_million,fp32_mib,source_file,note
LiteRaceSegNet,cpu,additional validation item,additional validation item,additional validation item,1,N/A,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,N/A,N/A,0.124509,0.474964,final_evidence/02_metrics_and_compare_cpu/model_compare_summary.csv,CPU condition only
SegFormer-B3 baseline,cpu,additional validation item,additional validation item,additional validation item,1,N/A,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,N/A,N/A,additional validation item,additional validation item,final_evidence/02_metrics_and_compare_cpu/model_compare_summary.csv,CPU condition only
LiteRaceSegNet,cuda,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,0.124509,0.474964,final_evidence/02_metrics_and_compare_gpu/model_compare_summary.csv,GPU condition only
SegFormer-B3 baseline,cuda,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,additional validation item,final_evidence/02_metrics_and_compare_gpu/model_compare_summary.csv,GPU condition only
