variant,status,run_dir,best_epoch,best_miou_binary,best_iou_damage,best_iou_background,best_pixel_acc,best_train_loss,best_val_loss,num_logged_epochs,params_million,params_total,latency_ms_per_image,profile_device,description
v13_full_reference,ok,aws_runs/v13-g6-result-001/checkpoints/ablation/v13_full_reference,2,0.8072165849511359,0.7112691400321568,0.9031640298701151,0.9218149820963542,0.8333770161867142,0.48760226368904114,14,0.124509,124509,3.097,cuda,Full LiteRaceSegNet reference: detail branch + boundary gate + boundary-logit fusion + LiteASPP context.
v13_no_aux_loss,ok,aws_runs/v13-g6-result-001/checkpoints/ablation/v13_no_aux_loss,11,0.791883293786984,0.6865786194109244,0.8971879681630435,0.9160868326822916,0.5281889563302199,0.39353310465812685,23,0.124411,124411,3.0289,cuda,Disable auxiliary segmentation head/loss.
v13_no_boundary_gate,ok,aws_runs/v13-g6-result-001/checkpoints/ablation/v13_no_boundary_gate,2,0.800952794427751,0.7022640072854306,0.8996415815700715,0.9188507080078125,0.8332564612229665,0.5005773544311524,14,0.124509,124509,3.0544,cuda,Keep boundary prediction but disable boundary-guided gating.
v13_no_boundary_logit_fusion,ok,aws_runs/v13-g6-result-001/checkpoints/ablation/v13_no_boundary_logit_fusion,2,0.8046026398508912,0.7077500840775756,0.901455195624207,0.9204416910807292,0.8317187438408534,0.4898482382297516,14,0.124509,124509,3.1127,cuda,Predict boundary logit without concatenating it into the fusion module.
v13_no_detail_branch,ok,aws_runs/v13-g6-result-001/checkpoints/ablation/v13_no_detail_branch,2,0.7981966262164919,0.698415589822897,0.8979776626100867,0.9174753824869791,0.8330175459384919,0.5085076630115509,14,0.124509,124509,2.6676,cuda,Remove the high-resolution detail branch contribution.
v13_no_liteaspp_context,ok,aws_runs/v13-g6-result-001/checkpoints/ablation/v13_no_liteaspp_context,2,0.7850106417538016,0.6784074642695562,0.8916138192380472,0.9117838541666666,0.8507108360528945,0.5206521272659301,14,0.123477,123477,2.7642,cuda,Replace LiteASPP context aggregation with DSConv context module.
v13_slim_backbone_capacity,ok,aws_runs/v13-g6-result-001/checkpoints/ablation/v13_slim_backbone_capacity,20,0.8064117884725099,0.7094504680246185,0.9033731089204015,0.9218190511067709,0.7310301780700683,0.4794930160045624,32,0.059397,59397,3.1216,cuda,Backbone-capacity ablation proxy: reduce base/context channels instead of claiming literal backbone removal.
